split,model,rows,log_loss,brier_score,accuracy,macro_f1,ece_10_bins
test,ensemble_market,380,0.958757806251363,0.5683084132387005,0.5447368421052632,0.3839763407162721,0.027608445910485363
test,random_forest_market,380,0.9634610354601497,0.5707690641523501,0.5394736842105263,0.38675385395682427,0.017610571894768723
test,market,380,0.9641034157339412,0.5714649828539332,0.5447368421052632,0.38372575933551545,0.020083883095718336
test,logistic_market,380,0.9654980136041896,0.5724083528664182,0.5421052631578948,0.43494286691240847,0.029599198252712493
test,ensemble_sports,380,0.9672428527038279,0.5723705860951447,0.5394736842105263,0.3776683087027915,0.02234780455826893
test,random_forest_sports,380,0.9710953153949027,0.5752839535693774,0.531578947368421,0.3796728966732257,0.017543521677782663
test,logistic_sports,380,0.9758671364855257,0.5764600336342933,0.531578947368421,0.4100839847160714,0.03502418369534765
test,poisson,380,0.9844354216295422,0.5842010878462145,0.5078947368421053,0.3521800458074968,0.03127269316346968
validation,ensemble_market,760,0.9460488866292034,0.5614413618465308,0.5526315789473685,0.4145634064485197,0.015123337863445954
validation,market,760,0.9512047413914982,0.564050852339856,0.5526315789473685,0.415373377189962,0.02451687905813103
validation,random_forest_market,760,0.9557971736219291,0.5673701751893703,0.5473684210526316,0.4098162414761692,0.029723755458787252
validation,ensemble_sports,760,0.964210200282926,0.5728245852784263,0.5394736842105263,0.3979936349799364,0.019628088730841202
validation,random_forest_sports,760,0.9702840066250279,0.5771606685628153,0.5447368421052632,0.4092528908562756,0.01547573470332589
validation,logistic_market,760,0.977885035754458,0.5794583253138715,0.5328947368421053,0.4310004180093232,0.037618206591295084
validation,poisson,760,0.9779512099459076,0.5817759436722096,0.525,0.3894482583269769,0.024066675858102477
validation,logistic_sports,760,0.9940525942797663,0.588411992591518,0.531578947368421,0.415822232839572,0.02633845685305553
