split,model,rows,log_loss,brier_score,accuracy,macro_f1,ece_10_bins,goal_mae,goal_rmse,total_goals_mae,exact_score_accuracy,score_log_loss
test,poisson,380,0.9844354216295422,0.5842010878462147,0.5078947368421053,0.3521800458074968,0.0312726931634697,0.8170920476874188,1.042077980738188,1.1900963531369113,0.15789473684210525,2.806554116968655
test,dixon_coles,380,0.9845769915872958,0.5843451794267484,0.5078947368421053,0.3521800458074968,0.0388845862642461,0.8171529080495621,1.0421144419759538,1.190085505796459,0.16842105263157894,2.8069003047701986
validation,poisson,760,0.9779512099459076,0.5817759436722096,0.525,0.3894482583269769,0.024066675858102456,0.8644991445697301,1.110451047854586,1.2815481586533772,0.14342105263157895,2.8281251062428643
validation,dixon_coles,760,0.9780356375893943,0.581792826645866,0.5276315789473685,0.3908603503634048,0.020911189134521127,0.8644784296233223,1.1104194072613445,1.2815367645682247,0.1368421052631579,2.8285727098248374
