season,bets,favorite_hit_rate,average_favorite_odds,flat_profit_units,roi
2016/17,380,0.5842105263157895,1.827684210526316,-2.53,-0.006657894736842105
2017/18,380,0.5473684210526316,1.8684999999999998,-13.690000000000001,-0.03602631578947369
2018/19,380,0.48157894736842105,1.917842105263158,-53.67,-0.14123684210526316
2019/20,380,0.5157894736842106,1.9751315789473682,-13.84,-0.036421052631578944
2020/21,380,0.5342105263157895,1.9766842105263154,1.4499999999999975,0.003815789473684204
2021/22,380,0.5157894736842106,1.9927105263157896,-12.189999999999998,-0.03207894736842105
2022/23,380,0.5447368421052632,1.993578947368421,14.510000000000002,0.03818421052631579
2023/24,380,0.5552631578947368,1.9678421052631578,15.069999999999999,0.0396578947368421
2024/25,380,0.55,1.9446578947368423,2.6100000000000003,0.00686842105263158
2025/26,380,0.5447368421052632,1.9700526315789473,5.709999999999998,0.01502631578947368
TOTAL,3800,0.5373684210526316,1.9434684210526316,-56.57000000000002,-0.014886842105263164
