split,model,class,bin,observations,mean_probability,observed_rate,calibration_gap
validation,random_forest_sports,D,2,105,0.16075604573487848,0.1619047619047619,0.0011487161698834347
validation,random_forest_sports,D,3,488,0.2630693463912034,0.2786885245901639,0.015619178198960526
validation,random_forest_sports,D,4,167,0.3149839608343662,0.30538922155688625,-0.009594739277479947
validation,random_forest_sports,A,1,68,0.08038166226526751,0.058823529411764705,-0.021558132853502804
validation,random_forest_sports,A,2,169,0.15467671165523367,0.10650887573964497,-0.048167835915588694
validation,random_forest_sports,A,3,224,0.24470818677679493,0.24553571428571427,0.0008275275089193457
validation,random_forest_sports,A,4,128,0.3438116163519296,0.3671875,0.023375883648070417
validation,random_forest_sports,A,5,85,0.4452042924608051,0.5764705882352941,0.13126629577448895
validation,random_forest_sports,A,6,76,0.5483965763818288,0.5921052631578947,0.043708686776065875
validation,random_forest_sports,A,7,10,0.6249012084415899,0.2,-0.4249012084415899
