split,model,baseline,rows,mean_log_loss_difference,ci_95_lower,ci_95_upper,bootstrap_probability_better,statistically_clear_improvement
validation,random_forest_sports,logistic_sports,760,-0.023768587654738525,-0.048558666669405545,-0.0011710904633474265,0.9816,True
validation,hist_boost_sports,logistic_sports,760,-0.009392049658434666,-0.03400991624053447,0.01392287467080841,0.7812,False
validation,random_forest_market,market,760,0.00459243223043099,-0.003526390231705406,0.01267760820582479,0.1338,False
validation,hist_boost_market,market,760,0.017835062004779318,-0.00022636453067328407,0.03585567131539785,0.026,False
test,random_forest_sports,logistic_sports,380,-0.00477182109062301,-0.028618761978478173,0.01816409830194628,0.6538,False
test,hist_boost_sports,logistic_sports,380,0.007052922912776567,-0.020174367351087828,0.03346821066696157,0.3088,False
test,random_forest_market,market,380,-0.0006423802737913635,-0.012610150589390839,0.011219536658168102,0.5408,False
test,hist_boost_market,market,380,0.01601681381018206,-0.004840947274285901,0.03743157605398051,0.0684,False
