split,ensemble,reference,rows,mean_log_loss_difference,ci_95_lower,ci_95_upper,bootstrap_probability_better,statistically_clear_improvement
validation,ensemble_sports,random_forest_sports,760,-0.006073806342101899,-0.012611605202221203,0.00033108981011923446,0.968,False
validation,ensemble_sports,logistic_sports,760,-0.029842393996840424,-0.05219955821272171,-0.008812132518999769,0.9976,True
validation,ensemble_market,market,760,-0.0051558547622947365,-0.01149709009706104,0.0013063422282640587,0.9424,False
validation,ensemble_market,random_forest_market,760,-0.009748286992725726,-0.019049838926557483,-0.00011342342336006296,0.9761,True
test,ensemble_sports,random_forest_sports,380,-0.0038524626910747786,-0.012424700942083628,0.004554994093268086,0.8109,False
test,ensemble_sports,logistic_sports,380,-0.0086242837816978,-0.029617633954712994,0.011766461748576509,0.7974,False
test,ensemble_market,market,380,-0.005345609482578169,-0.013903251719339269,0.003453222513220234,0.8891,False
test,ensemble_market,random_forest_market,380,-0.004703229208786795,-0.017496866050843655,0.008158605403331314,0.7671,False
