model,split,temperature,rows,raw_log_loss,calibrated_log_loss,log_loss_change,raw_brier_score,calibrated_brier_score,raw_ece_10_bins,calibrated_ece_10_bins
market,validation,0.8021588611413802,760,0.9512047413914982,0.9461177569535879,-0.005086984437910336,0.564050852339856,0.561509150410464,0.02451687905813103,0.009777128230736256
market,test,0.8021588611413802,380,0.9641034157339412,0.9594230049180605,-0.0046804108158806645,0.5714649828539332,0.5688435444479673,0.020083883095718336,0.02881149856388598
logistic_sports,validation,1.2776535468753947,760,0.9940525942797663,0.9872624985643287,-0.0067900957154376496,0.588411992591518,0.5868355422043671,0.02633845685305553,0.015097351179481907
logistic_sports,test,1.2776535468753947,380,0.9758671364855257,0.9755244811639874,-0.000342655321538321,0.5764600336342933,0.5775496547617506,0.03502418369534765,0.024586149866449403
logistic_market,validation,1.1810331011438442,760,0.977885035754458,0.9746736369595606,-0.003211398794897402,0.5794583253138715,0.5787431509703631,0.037618206591295084,0.02734244346903723
logistic_market,test,1.1810331011438442,380,0.9654980136041896,0.9680192969673151,0.002521283363125515,0.5724083528664182,0.5742014458746286,0.029599198252712493,0.02546740056344917
random_forest_sports,validation,0.8802576657341074,760,0.9702840066250279,0.9686765199045552,-0.0016074867204727283,0.5771606685628153,0.5763226939139164,0.01547573470332589,0.00903999910419543
random_forest_sports,test,0.8802576657341074,380,0.9710953153949027,0.9698576223970193,-0.001237692997883344,0.5752839535693774,0.5743343480609042,0.017543521677782663,0.01421395038391362
random_forest_market,validation,0.862332370589176,760,0.9557971736219291,0.9534705946118883,-0.0023265790100407413,0.5673701751893703,0.5661270554936807,0.029723755458787252,0.02502117360285086
random_forest_market,test,0.862332370589176,380,0.9634610354601497,0.9618518501452822,-0.001609185314867534,0.5707690641523501,0.569686870628718,0.017610571894768723,0.01587163638190668
poisson,validation,0.9165471171487084,760,0.9779512099459076,0.9772115323243551,-0.0007396776215524703,0.5817759436722096,0.5814524154756456,0.024066675858102477,0.01796075240525864
poisson,test,0.9165471171487084,380,0.9844354216295422,0.9832345709814139,-0.0012008506481283598,0.5842010878462145,0.5833916655313776,0.03127269316346968,0.03802470343969359
