update_id,created_at_utc,snapshot_date,completed_matches,completed_matchdays,remaining_matches,next_matchday,market_predictions,sports_predictions,simulations,quality_passed
1080ff29e479ce6c,2026-07-23T23:32:33.316902+00:00,2026-08-18,10,1,370,2,1,369,300,True
7f6a923c1a4600d7,2026-07-25T01:59:30.810964+00:00,2026-08-16,0,0,380,1,0,380,50000,True
