season,matches,goals,goals_per_match,home_goals_per_match,away_goals_per_match,home_goal_difference,shots_per_match,shots_on_target_per_match,h_rate,d_rate,a_rate,market_coverage,average_overround,market_accuracy
2016/17,380,1118,2.942105263157895,1.6631578947368422,1.2789473684210526,0.38421052631578945,23.96315789473684,8.913157894736843,0.4763157894736842,0.23421052631578948,0.2894736842105263,1.0,1.0507638430389525,0.5842105263157895
2017/18,380,1024,2.694736842105263,1.5473684210526315,1.1473684210526316,0.4,23.99736842105263,8.563157894736841,0.4710526315789474,0.22631578947368422,0.3026315789473684,1.0,1.0527185416080418,0.5473684210526316
2018/19,380,983,2.586842105263158,1.4526315789473685,1.1342105263157896,0.31842105263157894,24.307894736842105,8.423684210526316,0.4421052631578947,0.2894736842105263,0.26842105263157895,1.0,1.0526281406853457,0.48157894736842105
2019/20,380,942,2.4789473684210526,1.436842105263158,1.0421052631578946,0.39473684210526316,22.6,7.847368421052631,0.45789473684210524,0.27631578947368424,0.2657894736842105,1.0,1.0482242493282423,0.5157894736842106
2020/21,380,953,2.5078947368421054,1.368421052631579,1.1394736842105264,0.22894736842105262,21.347368421052632,7.405263157894737,0.41578947368421054,0.2868421052631579,0.29736842105263156,1.0,1.0475008179025442,0.5342105263157895
2021/22,380,951,2.5026315789473683,1.4210526315789473,1.081578947368421,0.3394736842105263,23.55,7.955263157894737,0.4342105263157895,0.29210526315789476,0.2736842105263158,1.0,1.0444542680477062,0.5157894736842106
2022/23,380,955,2.513157894736842,1.4552631578947368,1.0578947368421052,0.3973684210526316,24.623684210526317,8.392105263157895,0.4789473684210526,0.23421052631578948,0.2868421052631579,1.0,1.0437490738959168,0.5447368421052632
2023/24,380,1005,2.6447368421052633,1.4842105263157894,1.1605263157894736,0.3236842105263158,24.46315789473684,8.618421052631579,0.4394736842105263,0.28157894736842104,0.2789473684210526,1.0,1.0431537902396004,0.5552631578947368
2024/25,380,995,2.6184210526315788,1.4526315789473685,1.1657894736842105,0.2868421052631579,23.692105263157895,8.136842105263158,0.44473684210526315,0.25526315789473686,0.3,1.0,1.0474906714002097,0.55
2025/26,380,1024,2.694736842105263,1.5736842105263158,1.1210526315789473,0.45263157894736844,24.978947368421053,8.671052631578947,0.48947368421052634,0.24473684210526317,0.2657894736842105,1.0,1.0646126827209526,0.5447368421052632
