ensemble,weight_step,rows,weight_random_forest_sports,weight_logistic_sports,weight_poisson,log_loss,brier_score,accuracy,macro_f1,ece_10_bins,weight_market,weight_random_forest_market,weight_logistic_market
ensemble_sports,0.05,760,0.0,0.0,1.0,0.9772115323243551,0.5814524154756456,0.525,0.3894482583269769,0.017960752405258636,0.0,0.0,0.0
ensemble_sports,0.05,760,0.0,0.05,0.9500000000000001,0.9755638957973124,0.5804581468008057,0.525,0.38842897923860725,0.016373000316263098,0.0,0.0,0.0
ensemble_sports,0.05,760,0.0,0.1,0.9,0.9741557192423644,0.5795968702324157,0.5276315789473685,0.3902035948547577,0.020263165958291595,0.0,0.0,0.0
ensemble_sports,0.05,760,0.0,0.15000000000000002,0.8500000000000001,0.972976698599689,0.578868585770476,0.5263157894736842,0.38896144804167115,0.021080106499995668,0.0,0.0,0.0
ensemble_sports,0.05,760,0.0,0.2,0.8,0.9720186562733153,0.5782732934149862,0.525,0.38735101883890816,0.022637090021874615,0.0,0.0,0.0
ensemble_sports,0.05,760,0.0,0.25,0.75,0.9712751994141567,0.5778109931659468,0.525,0.386486010727525,0.022795126840395134,0.0,0.0,0.0
ensemble_sports,0.05,760,0.0,0.30000000000000004,0.7000000000000001,0.9707414935837323,0.5774816850233573,0.5276315789473685,0.38887938645367387,0.019180883118141746,0.0,0.0,0.0
ensemble_sports,0.05,760,0.0,0.35000000000000003,0.65,0.9704141212852284,0.5772853689872179,0.5302631578947369,0.3905311934079505,0.0179003142590945,0.0,0.0,0.0
ensemble_sports,0.05,760,0.0,0.4,0.6000000000000001,0.9702910097804749,0.5772220450575287,0.5342105263157895,0.39493157382787464,0.01258729301876303,0.0,0.0,0.0
ensemble_sports,0.05,760,0.0,0.45,0.55,0.9703714230450942,0.5772917132342896,0.531578947368421,0.39252973540152286,0.012421667153480115,0.0,0.0,0.0
ensemble_sports,0.05,760,0.0,0.5,0.5,0.9706560220245951,0.5774943735175007,0.5289473684210526,0.39027920598763427,0.009866147286598702,0.0,0.0,0.0
ensemble_sports,0.05,760,0.0,0.55,0.45,0.9711470083449427,0.5778300259071618,0.5289473684210526,0.3916927340289295,0.015464843134440676,0.0,0.0,0.0
