model,feature,coefficient_home,coefficient_draw,coefficient_away,mean_absolute_coefficient,rank
logistic_market,market_probability_away,-0.27408379282200007,-0.010255376252398038,0.28433916907439916,0.18955944604959907,1
logistic_market,market_probability_home,0.27400861501269413,-0.028414720267713304,-0.24559389474498083,0.18267241000846277,2
logistic_market,away_season_win_rate_pre,0.0949480603439887,0.07736354030496727,-0.17231160064895543,0.11487440043263712,3
logistic_market,missingindicator_venue_ppg_5_difference,-0.054764363617154505,-0.10924625738263719,0.16401062099979116,0.10934041399986094,4
logistic_market,market_probability_draw,-0.10788655891321199,0.12828133279992399,-0.020394773886712406,0.08552088853328278,5
logistic_market,away_form_goals_for_avg_5,-0.05678132695804633,0.12326221626446193,-0.06648088930641594,0.08217481084297473,6
logistic_market,home_league_position_pre,0.005933410293696117,0.10511468495918533,-0.11104809525288173,0.07403206350192106,7
logistic_market,away_season_ppg_pre,-0.06441863648810095,0.10949943598481118,-0.0450807994967104,0.07299962398987418,8
logistic_market,form_ppg_10_difference,0.03728141292994472,0.06230902192585269,-0.09959043485579747,0.06639362323719829,9
logistic_market,away_league_position_pre,-0.03392307876205229,0.0903154103600842,-0.05639233159803133,0.06021027357338927,10
logistic_market,away_form_goals_for_avg_10,0.08736730502033026,-0.0780723962985273,-0.009294908721802744,0.05824487001355343,11
logistic_market,history_ready_5,0.08537143905864202,-0.01663872896291908,-0.06873271009572267,0.05691429270576126,12
logistic_market,home_season_ppg_pre,-0.03067946617601264,0.08140031723725914,-0.05072085106124734,0.05426687815817304,13
logistic_market,away_season_goal_difference_avg_pre,0.026702341469556457,-0.07816698556629889,0.051464644096741945,0.05211132371086576,14
logistic_market,away_season_goals_against_avg_pre,0.01057277954610682,0.0662738749698796,-0.07684665451598613,0.05123110301065751,15
logistic_market,home_days_rest,-0.07420521188928665,0.04284329577575414,0.031361916113532805,0.049470141259524536,16
logistic_market,away_division_changed,0.07324106849716809,1.8707141388898706e-05,-0.07325977563855712,0.048839850425704705,17
logistic_market,season_ppg_difference,0.072663980821903,-0.020028114333279442,-0.05263586648862371,0.04844265388126872,18
logistic_market,home_form_goals_against_avg_10,0.0048812873587279655,0.06750094349665588,-0.072382230855384,0.04825482057025595,19
logistic_market,away_form_ppg_10,-0.07203311353646837,0.0002594576788847067,0.07177365585758394,0.048022075690979,20
logistic_market,away_form_goal_difference_avg_10,0.07088127627844076,-0.025165330635156045,-0.04571594564328526,0.04725418418562736,21
logistic_market,home_venue_win_rate_5,-0.07087928877549209,0.002342695641085347,0.06853659313440684,0.04725285918366142,22
logistic_market,away_form_goal_difference_avg_5,-0.020265553125714847,0.06656989317987264,-0.0463043400541579,0.04437992878658179,23
logistic_market,away_form_goals_against_avg_10,-0.01712614796653979,-0.04928258620782481,0.06640873417436403,0.044272489449576215,24
logistic_market,home_season_win_rate_pre,0.06535380220932481,-0.019948767143541074,-0.04540503506578423,0.04356920147288337,25
logistic_market,home_season_goals_for_avg_pre,-0.06366489456277515,0.05463557013473023,0.009029324428045138,0.04244326304185017,26
logistic_market,away_venue_goals_against_avg_5,0.05117925110750939,-0.06248532390623247,0.011306072798723222,0.04165688260415503,27
logistic_market,home_form_shots_on_target_against_avg_5,-0.013708244960996104,-0.046664677930189184,0.06037292289118593,0.040248615260790405,28
logistic_market,away_venue_win_rate_5,-0.008538293730336589,-0.05058932566923998,0.05912761939957653,0.03941841293305103,29
logistic_market,home_form_ppg_5,-0.05851718499685981,0.008308806164581212,0.05020837883227849,0.039011456664573174,30
logistic_market,home_form_goal_difference_avg_5,0.057061363734158016,-0.031062736890845145,-0.025998626843313354,0.0380409091561055,31
logistic_market,season_goal_difference_avg,-0.011106726851689987,0.056237642673441536,-0.04513091582175135,0.03749176178229429,32
logistic_market,away_season_goals_for_avg_pre,0.0467586494313434,-0.056148579454156446,0.00938993002281267,0.03743238630277084,33
logistic_market,home_form_win_rate_5,-0.055932487263589854,0.018298096602486838,0.03763439066110261,0.037288324842393104,34
logistic_market,away_venue_shots_on_target_for_avg_5,-0.0072498842775415625,-0.04440589628788493,0.051655780565426745,0.03443718704361775,35
logistic_market,form_goal_difference_5_difference,0.051565837710420226,-0.013435955180392874,-0.038129882530027207,0.0343772251402801,36
logistic_market,away_form_shots_on_target_against_avg_5,-0.024362052510822192,-0.026892483652997012,0.051254536163819274,0.034169690775879495,37
logistic_market,away_elo_pre,-0.05027750844142981,0.027515985100027812,0.02276152334140226,0.03351833896095329,38
logistic_market,away_venue_ppg_5,0.049624752326195024,-0.02557731022372552,-0.02404744210246972,0.03308316821746342,39
logistic_market,away_venue_goals_for_avg_5,-0.03575267089518705,0.049079674761161214,-0.013327003865973942,0.0327197831741074,40
logistic_market,home_season_matches_pre,0.027743639382676488,-0.04882699091469662,0.021083351532020008,0.03255132727646437,41
logistic_market,home_form_goals_for_avg_5,0.04655210062535606,-0.04124800969138079,-0.005304090933975264,0.03103473375023737,42
logistic_market,venue_ppg_5_difference,-0.04158722120096632,0.04434865912609803,-0.0027614379251318408,0.029565772750732064,43
logistic_market,away_days_rest,0.024017720397828794,0.019903231600095998,-0.04392095199792434,0.02928063466528304,44
logistic_market,away_form_draw_rate_5,0.02035174586314086,0.02317547747854825,-0.04352722334168948,0.029018148894459528,45
logistic_market,days_rest_difference,0.032149603235338504,0.011339541502297594,-0.043489144737636036,0.028992763158424046,46
logistic_market,missingindicator_away_season_ppg_pre,-0.03510549425454491,0.04259926422452672,-0.007493769969981523,0.028399509483017716,47
logistic_market,missingindicator_away_season_win_rate_pre,-0.03510549425454491,0.04259926422452672,-0.007493769969981523,0.028399509483017716,48
logistic_market,missingindicator_away_season_goals_for_avg_pre,-0.03510549425454491,0.04259926422452672,-0.007493769969981523,0.028399509483017716,49
logistic_market,missingindicator_away_season_goals_against_avg_pre,-0.03510549425454491,0.04259926422452672,-0.007493769969981523,0.028399509483017716,50
logistic_market,missingindicator_away_season_goal_difference_avg_pre,-0.03510549425454491,0.04259926422452672,-0.007493769969981523,0.028399509483017716,51
logistic_market,home_form_ppg_10,-0.02679768541086365,0.04256708472780996,-0.01576939931694591,0.02837805648520651,52
logistic_market,form_ppg_5_difference,-0.04153279658120413,0.015557652571585028,0.025975144009618704,0.02768853105413595,53
logistic_market,home_venue_shots_on_target_for_avg_5,0.02934316214091945,-0.039830366948762276,0.010487204807843011,0.02655357796584158,54
logistic_market,season_win_rate_difference,0.0395763101425062,-0.03933410071604341,-0.0002422094264631485,0.026384206761670918,55
logistic_market,home_form_shots_on_target_for_avg_5,-0.03948535258737274,0.018106753076924467,0.02137859951044825,0.026323568391581818,56
logistic_market,elo_expected_home,0.008518676612098802,0.030816605590428384,-0.03933528220252749,0.026223521468351562,57
logistic_market,league_position_advantage,-0.028326427220260575,-0.010655713475100212,0.03898214069536131,0.025988093796907363,58
logistic_market,home_form_draw_rate_5,0.009632251050185777,-0.03877035595757173,0.02913810490738597,0.02584690397171449,59
logistic_market,home_form_goals_against_avg_5,-0.03836743825656264,0.004045896479943402,0.03432154177661963,0.02557829217104189,60
logistic_market,home_form_goal_difference_avg_10,0.013286431633299888,-0.03673757081634801,0.02345113918304765,0.024491713877565182,61
logistic_market,away_form_shots_on_target_for_avg_5,-0.034398585081989466,0.011108652334217772,0.02328993274777132,0.02293239005465952,62
logistic_market,home_venue_ppg_5,0.02952609427889629,-0.0343113491012468,0.004785254822350369,0.022874232734164487,63
logistic_market,home_season_goals_against_avg_pre,-0.01749209302825264,0.03338463442204805,-0.015892541393794684,0.022256422948031793,64
logistic_market,home_season_goal_difference_avg_pre,-0.03287331318106052,0.017144507471520038,0.01572880570953967,0.021915542120706743,65
logistic_market,away_season_matches_pre,-0.017491599901437532,-0.014999291427391006,0.032490891328828056,0.021660594219218867,66
logistic_market,home_venue_goals_against_avg_5,0.0014424033644669298,-0.032004776990587534,0.030562373626120548,0.021336517993725004,67
logistic_market,away_form_goals_against_avg_5,-0.031292473632061106,0.03175043249004591,-0.0004579588579841342,0.021166954993363716,68
logistic_market,home_form_goals_for_avg_10,0.02381034205162421,0.006601578216510916,-0.030411920268134822,0.020274613512089982,69
logistic_market,missingindicator_away_segunda_position,-0.02005066691810877,-0.01012823622610222,0.030178903144211056,0.02011926876280735,70
logistic_market,away_promoted,0.020050666918108657,0.010128236226102183,-0.030178903144210983,0.020119268762807275,71
logistic_market,elo_difference_pre,0.030068929972313817,-0.017022633746484887,-0.013046296225828658,0.020045953314875787,72
logistic_market,missingindicator_home_season_ppg_pre,0.022205992438711936,-0.029139552026418474,0.0069335595877066105,0.01942636801761234,73
logistic_market,missingindicator_home_season_win_rate_pre,0.022205992438711936,-0.029139552026418474,0.0069335595877066105,0.01942636801761234,74
logistic_market,missingindicator_home_season_goals_for_avg_pre,0.022205992438711936,-0.029139552026418474,0.0069335595877066105,0.01942636801761234,75
logistic_market,missingindicator_home_season_goals_against_avg_pre,0.022205992438711936,-0.029139552026418474,0.0069335595877066105,0.01942636801761234,76
logistic_market,missingindicator_home_season_goal_difference_avg_pre,0.022205992438711936,-0.029139552026418474,0.0069335595877066105,0.01942636801761234,77
logistic_market,home_venue_goals_for_avg_5,0.0036412075267430633,0.02481497645720365,-0.028456183983947163,0.01897078932263129,78
logistic_market,missingindicator_away_venue_ppg_5,0.01247453732315281,0.014448189124148395,-0.026922726447301246,0.017948484298200815,79
logistic_market,missingindicator_away_venue_win_rate_5,0.01247453732315281,0.014448189124148395,-0.026922726447301246,0.017948484298200815,80
logistic_market,missingindicator_away_venue_goals_for_avg_5,0.01247453732315281,0.014448189124148395,-0.026922726447301246,0.017948484298200815,81
logistic_market,missingindicator_away_venue_goals_against_avg_5,0.01247453732315281,0.014448189124148395,-0.026922726447301246,0.017948484298200815,82
logistic_market,missingindicator_away_venue_shots_on_target_for_avg_5,0.01247453732315281,0.014448189124148395,-0.026922726447301246,0.017948484298200815,83
logistic_market,away_form_ppg_5,0.004918744658982196,0.020618399086101757,-0.025537143745083916,0.017024762496722624,84
logistic_market,missingindicator_form_ppg_5_difference,-0.01323268996409211,0.024805789129969683,-0.011573099165877457,0.016537192753313085,85
logistic_market,missingindicator_form_ppg_10_difference,-0.01323268996409211,0.024805789129969683,-0.011573099165877457,0.016537192753313085,86
logistic_market,missingindicator_form_goal_difference_5_difference,-0.01323268996409211,0.024805789129969683,-0.011573099165877457,0.016537192753313085,87
logistic_market,missingindicator_form_shots_on_target_5_difference,-0.01323268996409211,0.024805789129969683,-0.011573099165877457,0.016537192753313085,88
logistic_market,missingindicator_days_rest_difference,-0.01323268996409211,0.024805789129969683,-0.011573099165877457,0.016537192753313085,89
logistic_market,away_segunda_position,-0.02417426847113226,-0.00042240849976813534,0.024596676970900327,0.01639778464726691,90
logistic_market,missingindicator_home_segunda_position,-0.022149271601424554,0.02197370852435132,0.00017556307707312062,0.014766181067616332,91
logistic_market,home_promoted,0.022149271601424592,-0.02197370852435132,-0.0001755630770730365,0.014766181067616317,92
logistic_market,missingindicator_season_ppg_difference,0.003994766205302676,-0.021526444498488447,0.017531678293185676,0.014350962998992267,93
