simulations,max_abs_champion_change,max_abs_top4_change,max_abs_top7_change,max_abs_relegation_change,max_abs_expected_points_change
1000,0.022479999999999944,0.0121,0.02076,0.03944,0.43825999999999965
5000,0.006719999999999997,0.012800000000000034,0.00878000000000001,0.008260000000000017,0.21105999999999625
10000,0.00647999999999993,0.007199999999999984,0.007580000000000003,0.005860000000000004,0.14815999999999718
25000,0.0015999999999999973,0.0025999999999999357,0.0024000000000000132,0.00379999999999997,0.04561999999999955
50000,0.0,0.0,0.0,0.0,0.0
